municipal,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,cases_2007,cases_2008,cases_2009,cases_2010,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019,age_0_to_4,age_5_to_14,age_15_to_29,age_30_and_up,illiterate,secondary_education,employed,unemployed,men,women,households_without_water_access,households_without_internet_access,houses_per_km2
motavita,6046,6013,5989,5942,5910,5853,5780,5726,5673,5608,5542,5569,5641,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,18.31,25.62,48.64,5.67,42.83,20.67,5.06,49.36,50.64,26.43,67.14,21.409836
muzo,10249,10202,10163,10099,10009,9898,9782,9656,9471,9242,8915,8597,8466,2,0,0,81,3,15,32,11,179,263,39,3,3,6.61,16.36,24.49,52.54,9.36,45.72,33.4,7.68,54.43,45.57,38.28,79.51,16.683823999999998
nobsa,15505,15451,15399,15290,15070,14707,14528,14575,14871,15303,15688,15976,16238,0,0,0,1,0,0,0,0,0,0,0,0,0,6.18,14.84,25.34,53.64,2.72,63.09,36.24,6.12,48.09,51.91,1.03,64.97,84.339623
nuevo colon,5946,5903,5846,5789,5721,5579,5499,5421,5351,5279,5172,5121,5172,1,0,0,0,0,2,0,0,0,0,0,0,0,6.13,16.38,20.5,57.0,6.83,39.08,26.69,10.17,51.48,48.52,12.35,59.47,31.490196
oicata,2866,2856,2837,2824,2825,2808,2792,2781,2776,2785,2802,2821,2858,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,15.23,24.17,54.17,6.4,50.91,40.76,3.9,51.09,48.91,4.19,51.64,14.491525
otanche,10674,10651,10606,10521,10265,9809,9540,9353,9051,8691,8250,8018,8002,0,0,4,72,8,37,5,74,63,72,18,0,44,6.62,18.59,23.35,51.44,9.62,40.69,40.13,5.05,51.31,48.69,44.27,74.96,4.296875
pachavita,3014,3007,3000,2992,2971,2948,2904,2846,2763,2644,2507,2467,2447,0,0,0,1,0,0,0,0,0,0,0,0,0,4.35,13.63,15.6,66.42,8.31,30.81,35.47,0.88,51.69,48.31,11.73,55.53,12.75
paez,3439,3440,3448,3440,3432,3424,3387,3357,3350,3328,3293,3283,3256,2,0,1,54,4,0,4,8,1,1,0,0,2,6.45,15.97,22.97,54.61,8.5,39.22,30.34,9.28,53.0,47.0,32.73,61.61,2.4040630000000003
paipa,28414,28416,28376,28323,28298,28370,28580,29346,30685,31990,32927,33535,34177,0,0,3,4,0,2,3,1,0,1,0,0,0,6.29,15.75,23.67,54.29,3.44,57.76,36.02,5.31,48.19,51.81,3.65,50.66,32.344262
pajarito,2525,2552,2562,2562,2541,2520,2499,2493,2450,2421,2389,2390,2400,0,1,5,6,0,17,24,9,9,10,1,0,23,6.8,16.02,25.14,52.04,8.4,44.46,41.22,7.11,51.62,48.38,19.19,67.56,2.052795
panqueba,1885,1898,1911,1907,1907,1896,1902,1885,1856,1820,1751,1717,1702,0,0,0,0,0,0,0,0,0,0,0,0,0,6.63,16.3,20.07,57.0,10.34,45.38,27.98,3.28,49.21,50.79,15.7,50.87,12.904762
pauna,10498,10460,10390,10312,10060,9614,9206,8705,8046,7551,7270,7185,7198,0,5,0,69,1,6,5,1,28,95,2,0,1,4.8,16.29,19.62,59.29,15.67,35.2,39.61,2.58,52.21,47.79,38.62,63.3,8.907336
paya,2862,2875,2870,2864,2834,2819,2784,2749,2716,2669,2601,2593,2616,1,0,0,0,0,0,17,2,2,0,0,1,0,7.71,19.51,28.53,44.25,11.89,35.71,18.92,11.79,53.32,46.68,50.89,77.02,1.34023
paz de rio,5253,5239,5245,5240,5224,5215,5186,5114,4984,4776,4485,4285,4228,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,14.21,21.62,57.99,5.41,50.16,30.76,3.85,49.17,50.83,3.99,40.56,12.0
pesca,9567,9535,9474,9428,9363,9275,9157,8900,8415,7751,7134,6852,6765,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,18.02,21.53,53.83,7.59,40.85,32.1,1.92,50.95,49.05,8.43,54.61,7.308511
pisba,1550,1567,1592,1636,1697,1743,1771,1800,1799,1783,1763,1763,1779,0,0,0,0,0,0,0,1,0,0,0,0,1,8.41,18.65,27.5,45.45,8.53,36.03,27.81,2.47,53.35,46.65,35.17,58.7,1.061834
puerto boyaca,47648,47199,46987,46883,46839,46786,46757,46718,46696,46662,46632,46736,47600,70,44,241,198,139,82,212,120,233,79,9,54,377,7.61,17.71,24.66,50.02,7.98,48.34,35.09,8.87,49.63,50.37,8.68,52.61,10.029212
quipama,6233,5970,5863,5783,5617,5354,5202,5128,5076,5002,4917,4889,4939,0,1,0,3,0,0,2,2,16,62,1,1,0,5.22,15.57,21.08,58.13,12.52,38.96,16.26,10.52,54.7,45.3,55.24,78.81,9.087912
ramiriqui,10050,10037,10007,9952,9843,9641,9551,9582,9686,9795,9828,9887,9988,0,0,0,0,0,0,1,0,0,0,0,0,1,6.38,17.28,24.1,52.24,7.11,46.38,36.25,3.67,49.5,50.5,11.41,48.84,19.467626
raquira,12172,12046,11964,11843,11674,11384,10883,10169,9315,8597,8097,7877,7958,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,16.48,24.86,52.82,9.63,41.71,48.43,2.04,52.78,47.22,15.23,47.98,10.627706
rondon,3037,3029,3011,3002,2972,2936,2902,2855,2762,2627,2483,2407,2384,0,0,0,0,0,0,0,0,1,0,0,0,0,5.78,15.56,19.19,59.46,8.61,38.25,23.99,2.06,51.17,48.83,27.76,51.29,3.5059760000000004
saboya,12954,12889,12804,12726,12620,12507,12483,12499,12719,13072,13326,13588,13728,0,0,0,1,0,0,0,0,0,0,0,0,0,6.81,16.67,23.37,53.16,7.73,41.88,32.95,1.58,48.96,51.04,19.74,53.32,13.532520000000002
sachica,4008,4074,4129,4190,4260,4337,4412,4557,4771,5069,5298,5452,5578,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,17.75,27.83,46.57,5.45,46.26,50.43,2.2,50.94,49.06,6.2,64.85,23.403226
samaca,18232,18323,18398,18463,18504,18522,18523,18496,18432,18355,18232,18298,18588,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62,19.21,26.62,46.55,5.4,44.51,39.98,1.77,50.34,49.66,8.69,67.19,30.44375
san eduardo,1925,1913,1913,1913,1881,1845,1822,1801,1782,1759,1732,1701,1676,1,2,0,2,0,0,0,0,1,1,0,0,0,5.15,13.99,22.07,58.78,8.21,40.97,28.44,3.56,51.84,48.16,20.68,77.76,5.5
